description,Degree,School,School2,Master_A_Etranger,Double_Diplome,Certificats,Job1,Company_job1,Job2,Company_job2,Job3,Company_job3,Company_job4,Stage1,Stage2,Stage3,Stage4,Stage5,Skills,Specialité,Entreprises,Entreprise_Ds,EntrepriseSpec
Software engineer | Application developer,Software engineer,Esprit,INSAT - Institut National des Sciences Appliquées et de Technologie,vide,0.0,"Neo4j Certified Professional
Neo4j / DELE A2 Spanish
Instituto Cervantes / Neo4j 4.0 Certified
Neo4j",Software Engineer,Endesa,vide,,vide,,,Cinderella travel,,vide,vide,vide,"Software Development , Microservices , 
Neo4j , IOS Development , 
Android Development , Mobile Applications , 
Web Development , Web Service , Android , Java , JavaEE , JavaScript ,Swift , Software Development , SQL , AWS , Spring , NoSQl , IOs , Selenium , NoSQL , Docker , REST , Devops , Kubernetes , Reactive ",Génie Logiciel,"Endesa,vide,vide,vide",endesacinderellatravel,Endesa
vide,vide,Esprit,vide,vide,vide,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,vide,Esprit,vide,vide,vide,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,"Software-Engineer, Full-stack Developer",Esprit,vide,vide,0.0,"Docker pour les développeurs / développeuses
LinkedIn","
Full-stack Developer",B2I Group Africa,vide,,vide,,,B2I Group Africa,Bureau de Formation Technologique (BFT),Équipe de recherche Minos (ESPRIT),vide,vide,"Développement full-stack , Spring , Node.js , Développement Android  , Flutter ,  Kotlin  , Java ,  MySQL , PostdreSQL , MongoDB , Docker , Android , TypeScript , Express.js , Dart, Devops",Génie Logiciel,"B2I Group Africa,vide,vide,vide",groupafricagroupafricabureaudeformationtechnologiquebft,GroupAfrica
vide,Software Developer,Esprit,vide,vide,vide,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
"Ingénieur en Informatique option ERP-BI.
Passionnée par le métier de décisionnel et d'analyse et étant informaticien orienté ver le management, je possède des compétences mathématiques, informatiques et une bonne technique d'analyse afin de mener toute les missions qui me seront confié. ",Consultant informatique,Esprit,Preparatory Institute for Engineering Studies of Monastir (IPEIM),vide,0.0,vide,"
Consultant tests de performance","
WAPSI Votre performance, notre défi !",Consultant en informatique,INEXPERT,vide,,,REXEL FRANCE,INDIGO Group,Business & Decision,vide,vide,"
SQL Server Integration Services (SSIS) , Talend , Big Data ,R ,PL/SQL , 
SQL Server Reporting Services (SSRS)  , Power Bi , SQL, Cubes , Python , ETL , ERP  ",ERP-BI,"
WAPSI Votre performance, notre défi !,INEXPERT,vide,vide",wapsivotreperformancenotredefiinexpertrexelfranceindigogroup,WAPSIVotreperformancenotredefiINEXPERT
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
"Dévoué et passionné, un développeur Full Stack fraîchement diplômé qui fait preuve
de bonne humeur, de personnalité gaie et surtout de son désir d'apprendre ",Full Stack JS Engineer,Esprit,INSAT - Institut National des Sciences Appliquées et de Technologie,vide,0.0,vide,Full Stack Engineer,Hublo (ex medGo & Whoog),vide,,vide,,,BIAT,,vide,vide,vide,"Nodejs , React.js , Angular , MySQL , HTML5 ,MongoDB , 
Développement de logiciels , JavaScript , NoSQL , 
Développement d’applications web",TWIN,"Hublo (ex medGo & Whoog),vide,vide,vide",hubloexmedgowhoogbiat,HubloexmedGoWhoog
vide,"Mobile application developer (Ios, Flutter)",Esprit,vide,vide,0.0,vide,"Mobile Application Developer (Ios, Flutter)",MintIT,vide,,vide,,,Standard Sharing Software (3S),Freelance,Mobiblanc,Sofia Holding,vide,"Flutter Développement iOS , Node.js , Swift , MongoDB , MySQL , Angular , JSON ,  Java , Dart , Android Studio , JavaScript , 
Mobile Application Development , Apache Kafka  , 
Socket.io",SIM,"MintIT,vide,vide,vide",mintitstandardsharingsoftware,MintIT
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,Ingénieur industriel,Esprit,"
Institut préparatoire aux études d'ingénieurs d'El Manar (IPEIEM)",vide,0.0,"Six Sigma Yellow Belt
6sigmastudy / Accueillir le changement
LinkedIn /  Cultiver la pensée critique et la créativité avec des questions
LinkedIn /  3DEXPERIENCE Collaborative Business Innovator
Dassault Systèmes / Certified SolidWorks Professional - Advanced Drawing Tools (CSWPA-DT ) / Certified SolidWorks Professional - Core (CSWP)
Dassault Systèmes / Certified SolidWorks Associate (CSWA)
Dassault Systèmes ",Coordinateur production,Bontaz,vide,,vide,,,Visteon Corporation,Poulina Group Holding,AVIONAV,IFFCO Group,vide,"SOLIDWORKS , CATIA ,  LabView , Lean Manufacturing , 
Conception assistée par ordinateur (CAO) ",Électromécanique,"Bontaz,vide,vide,vide",bontazvisteoncorporationpoulinagroupholding,Bontaz
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
"Ingénieur en Génie Civil avec un attachement profond pour la construction.
Fraichement diplômé de l'école ESPRIT de Tunis ( labellisés par la Conférence des grandes écoles), appuyé d'un Master 2 avec l'école des Mines de Douai.
Lors de mon stage de fin d'étude en tant qu'assistant de chargés d'affaires au sein d'un grand groupe de Contrôle Technique, j'ai eu l'occasion de développer mes compétences en ce qui concerne la solidité, la sécurité incendie et l'accessibilité PMR d'ERP et d'habitations collectives. ",Ingénieur responsable de mission,Esprit,vide,Mines Douai,1.0,vide,Ingénieur responsable de mission,BTP Consultants,vide,,vide,,,Groupe Qualiconsult,CE²-Engineering,Med Control,vide,vide,"Robot , Revit  , AutoCAD ,Sécurité incendie , Graitec",Génie Civil,"BTP Consultants,vide,vide,vide",btpconsultantsgroupequaliconsultce2engineering,BTPConsultants
vide,Développeur Full Stack,Esprit,"Institut préparatoire aux études d'ingénieurs d'El Manar (IPEIEM)
",vide,0.0,vide,"
Développeur Full Stack","
DSI-ESPRIT",vide,,vide,,,Groupe Symposia,,vide,vide,vide,"Java , Spring , MySQL , Java EE , JavaScript , , Maven , Symfony , .Net , PHP , jQuery ,
Développement de logiciels",Génie Logiciel,"
DSI-ESPRIT,vide,vide,vide",dsiespritgroupesymposia,DSIESPRIT
"Passionné par les nouvelles technologies , j'ai toujours voulu approfondir mes connaissances, notament les architectures modernes , critical thinking , résolution des problémes et surtout le stack ""MEAN"" ",Full Stack Developer,Esprit,"
Institut Supérieur des Sciences Appliquées et de Technologie de Mateur",vide,0.0,"Exploiting and Securing Vulnerabilities in Java Applications
Coursera / Identifying Security Vulnerabilities
Coursera",𝐅𝐮𝐥𝐥-𝐬𝐭𝐚𝐜𝐤 𝐃𝐞𝐯𝐞𝐥𝐨𝐩𝐞𝐫,Vima Technology,𝐃𝐞́𝐯𝐞𝐥𝐨𝐩𝐩𝐞𝐮𝐫 𝐰𝐞𝐛 𝐟𝐫𝐨𝐧𝐭-𝐞𝐧𝐝,Brandy Tn,𝐃𝐞́𝐯𝐞𝐥𝐨𝐩𝐩𝐞𝐦𝐞𝐧𝐭 𝐅𝐮𝐥𝐥 𝐬𝐭𝐚𝐜𝐤,ArabSoft,,Attijari bank Tunisie,,vide,vide,vide,"Node.js , React , MongoDB , AngularJS , HTML , MySQL , JavaScript , Java , Developpement web",TWIN,"Vima Technology,Brandy Tn,ArabSoft,vide",vimatechnologybrandytnattijaribanktunisie,VimaTechnologyBrandyTn
vide,Ingénieur en business intelligence,Esprit,faculté des sciences économiques et de gestion de tunis,vide,0.0,vide,Enseignante Formatrice,ESPRIT,vide,,vide,,,,,vide,vide,vide,"Extraire, transformer, charger (ETL) , Power Bi , Talend , Big Data , Data Mining , Machine Learning , Collecte de données , Data Modeling , Java , SQL , MySQL , R , Python , Hadoop , SQL Server Integration Services (SSIS) , Tableau DAX , Analyses Big Data ",ERP-BI,"ESPRIT,vide,vide,vide",esprit,ESPRIT
vide,Consultante Talend D,Esprit,"
Faculté des Sciences Mathématiques, Physiques et Naturelles de Tunis",vide,0.0,"Power BI Data Modeling with DAX
LinkedIn / FUNDAMENTALS OF DEEP LEARNING FOR COMPUTER VISION
NVIDIA  /  Google Cloud Platform Big Data and Machine Learning Fundamentals
Coursera / Python for DataScience 
Cognitive Class / Learning with R
Cognitive Class / Machine Learning - Dimensionality Reduction
Cognitive Class",Consultante Talend,TALYS,Développeur BI,The KAM Company,vide,,,Spectrum Groupe,ODDO BHF,ATB Group,vide,vide,"Extraire, transformer, charger (ETL) , Power Bi , Talend , Big Data , Data Mining , Machine Learning , Collecte de données , Data Modeling , Java , SQL ,  MySQL , UML , R , Python Hadoop , SQL Server Integration Services (SSIS) , Tableau DAX , Analyses Big Data ",ERP-BI,"TALYS,The KAM Company,vide,vide",talysthekamcompanyspectrumgroupeoddobhf,TALYSTheKAMCompany
vide,Data Engineer Consultant,Esprit,Iset Charguia,vide,0.0,"Foundations of Project Management
Coursera  /  Create Your First Chatbot with Rasa and Python
Coursera  / Facial Expression Recognition with Keras
Coursera / Google Cloud Platform Big Data and Machine Learning Fundamentals / 
Perform Real-Time Object Detection with YOLOv3 / Regression with Automatic Differentiation in TensorFlow /Google Cloud Platform Fundamentals for AWS Professionals",Data engineer,convz,vide,,vide,,,Orange,TALENTECH GROUP,Yasmine Engineering System,BIAT,vide,"Extraire, transformer, charger (ETL) , Power Bi , Talend , Big Data , Data Mining , Machine Learning , Collecte de données , Data Modeling , Java , SQL ,  MySQL , UML , R , Python Hadoop , SQL Server Integration Services (SSIS) , Tableau DAX , Analyses Big Data ",ERP-BI,"convz,vide,vide,vide",convzorangetalentechgroup,convz
vide,Full Stack Javascript Developer,Esprit,IPEIS - Institut Préparatoire aux Études d'Ingénieur de Sfax,vide,0.0,vide,"
Full Stack JavaScript Developer",Taupify,vide,,vide,,,Taupify,Thyna Petroleum Services,vide,vide,vide,"Sofware Development , Software Testing ,  JavaScript , jQuery ,  PHP , Java EE , SQL , HTML  , CSS , AngularJs , GrapgQL , Node.js , React.js , Redux.js , XML , Web Application Development",TWIN,"Taupify,vide,vide,vide",taupifytaupifythynapetroleumservices,Taupify
"Full Stack Developer, 
Experienced in designing, developing, and implementing applications and solutions using a range of technologies and programming languages especially with Node Js and Angular 7+.",Software Engineer,Esprit,Institut supérieur d'informatique,vide,0.0,vide,Software Engineer,Sofia Technologies,vide,,vide,,,Sofia Technologies,CUBE IT,la Caisse Nationale de Sécurité Sociale (CNSS),vide,vide,"Sofware Development , Software Testing ,  JavaScript , jQuery ,  PHP , Java EE , SQL , HTML  , CSS , AngularJs , GrapgQL , Node.js , React.js , Redux.js , XML , Web Application Development",TWIN,"Sofia Technologies,vide,vide,vide",sofiatechnologiessofiatechnologiescubeit,SofiaTechnologies
vide,Ingénieur,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,Comete Engineering,Batimod Société de Bâtiment Moderne,vide,vide,vide,"AutoCAD , Revit ",Génie Civil,"vide,vide,vide,vide",cometeengineeringbatimodsocietedebatimentmoderne,vide
vide,vide,Esprit,vide,vide,vide,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,CONSULTANT Business Intelligence,Esprit,vide,vide,0.0,vide,"
Consultant business intelligence ","
Saphir Consult France",vide,,vide,,,THE TEAM CONSULTING,ComunikCRM,vide,vide,vide,"Extraire, transformer, charger (ETL) , Power Bi , Talend , Big Data , Data Mining , Machine Learning , Collecte de données , Data Modeling , Java , SQL ,  MySQL , UML , R , Python Hadoop , SQL Server Integration Services (SSIS) , Tableau DAX , Analyses Big Data ",ERP-BI,"
Saphir Consult France,vide,vide,vide",saphirconsultfrancetheteamconsultingcomunikcrm,SaphirConsultFrance
"Je suis ingénieur en génie informatique spécialisé dans le développement d'applications mobiles et web. J'ai travaillé sur de nombreux projets de groupe avec des personnes d'horizons différents, ce qui m'a permis de développer plusieurs compétences et d'adapter à la pression et à la réalisation d'objectifs. Je suis une personne désireuse qui se tient toujours au courant des dernières technologies. Je crois qu'aimer ce que je fais en tant que développeur de logiciels et graphiste fait de moi une personne soucieuse des détails.. toutes ces raisons m'améliorent et m'offrent la meilleure expérience.",Mobile Developer,Esprit,Institue Supérieur des Sciences Appliquées et Technologie ISSAT Gafsa,vide,0.0,M_Dev_TUNISIA_Android-Certificat / M_Dev_TUNISIA_Cross_platform-Certificat,Mobile Developer,Gofbee,Développeur d’applications mobiles,CUBE SOLUTIONS,vide,,,Tunisie Télécom,Centre de Construction des lignes Tunisie Télécom,vide,vide,vide,"Java , SQL , MySQL , 
Développement de jeux , Développement Android , 
Développement iOS ,Unity ,",SIM,"Gofbee,CUBE SOLUTIONS,vide,vide",gofbeecubesolutionstunisietelecomcentredeconstructiondeslignestunisietelecom,GofbeeCUBESOLUTIONS
Software Engineering Student,Software Engineering,Esprit,Institut préparatoire aux études d'ingénieurs d'El Manar (IPEIEM),vide,0.0,vide,vide,,vide,,vide,,,Arab Software Company,NeoXam,IFT Consulting,vide,vide,"Java EE , Java , Python , 
JavaServer Faces (JSF) , Microsoft SQL Server ,  MongoDB , R , developpement
mobile , developpement web ·",Génie Logiciel,"vide,vide,vide,vide",arabsoftwarecompanyneoxam,vide
"Despite being a beginner in electromechanical engineering, I have participated in several projects, which gave me a good understanding and an appetite to learn more. Therefore, I’m interested in any opportunity in order to better develop my skills.","Electromechanical engineer
",Esprit,IPEIS - Institut Préparatoire aux Études d'Ingénieur de Sfax,vide,0.0,"ISO 14001 v 2015 training certificate / ISO 45001 Occupational Health and Safety training certificate / ISO 9001 V 2015 training certificate / Industrial Hygiene training certificate / 
Certified Professional - Mechanical Design (CSWP)",vide,,vide,,vide,,,Thyna Petroleum Services,Psi (Pétrole Services Industriel ),SONOTRAK,SOCOMENIN,vide,"Maintenance Management , Quality Management , Quality Control , 
Instrumentation , Lean Management , Risk Management , Mechanics , 
Electricity , Pumps  , Air Compressors , CATIA , SOLIDWORKS ,Tia Portal , AutoCAD , 
Computer Numerical Control (CNC) , 
Siemens Tia Portal , 
AutoCAD Plant 3D , 
CAESAR II",Électromécanique,"vide,vide,vide,vide",thynapetroleumservicespsipetroleservicesindustriel,vide
"A highly motivated, hard-working data science engineering student, with a mathematical background, and much interest in Artificial Intelligence Field.
I'm Looking for new opportunities that provide me with challenging and interesting projects in order to develop my skills and put my passion into work.",Data Science Enginnering,Esprit,IPEIT - Institut Préparatoire aux Etudes d'Ingénieurs de Tunis,vide,0.0,"Big Data Analysis with Scala and Spark / 
Complete Tensorflow 2 and Keras Deep Learning Bootcamp / TensorFlow 2.0 Practical Advanced / Feature Engineering for Machine Learning / FUNDAMENTALS OF DEEP LEARNING FOR COMPUTER VISION  ",Data Scientist,WeSmart,vide,,vide,,,YobiTrust YT,Andex International,Mitakus analytics,LinSoft,vide,"Data Analysis , Data Engineering , Bi , Machine Learning , Big Data , Python , R , SQL , Deep Learning , 
Statistical Data Analysis , 
Statistics , NLP",Data Science,"WeSmart,vide,vide,vide",wesmartyobitrustytandexinternational,WeSmart
Specializing in Industrial Organization and Management,Project Manager,Esprit,"
Institut Supérieur des Etudes Technologiques de Bizerte (ISET BIZERTE)",vide,0.0,vide,Project Manager,Plasticum Tunisia,vide,,vide,,,Valeo,Elektron Technology,Larisys North Africa,vide,vide,"IATF 16949 , Cor tools , Lean Manufacturing , 
Gestion de la production , 
Conception mécanique ",Électromécanique,"Plasticum Tunisia,vide,vide,vide",plasticumtunisiavaleoelektrontechnology,PlasticumTunisia
"He has acquired an experience in thefields of Legal audit, refered audit and due diligence .
He worked mainly on service sectors, industry, hotelkeeping, real estate, private equity and energy. 
His relevant experiences include Conduct audits, accounting assistance and due diligence and participation in missions in various sectors (Oil and Gas, Service, industry).",Software Development Engineer,Esprit,IPEIN - Institut Préparatoire aux Études d'Ingénieur de Nabeul,vide,0.0,vide,Software Development Engineer,L-mobile,vide,,vide,,,,,vide,vide,vide,"Java , SQL , MySQL , 
Développement de jeux , Développement Android , 
Développement iOS ,Unity ,",SIM,"L-mobile,vide,vide,vide",lmobile,Lmobile
"I am an Electromechanical Engineer eager to absorb as much knowledge and insight as possible in the pursuance of my goals.
I am always Energetic , I have experiences working as part of a team or individually .
I am always coming out with innovative ideas and creative solutions to almost every challenging problem.
I am also motivated person, organized and technically proficient with a great sense of humor .",Data Analyst Engineer,Esprit,"Ecole Supérieure Privée d'Ingénierie et de Technologies - ESPRIT
Preparatory school, Electromechanical Engineering preparatory",vide,0.0,vide,Data Analyst Engineer,Sartorius,vide,,vide,,,Valeo,EURO Repar Car Service Les Andelys,vide,vide,vide,"SAP ERP , SQL , 
Supply Chain Management ,
Lean Six Sigma ,   
Team Leadership , 
SOLIDWORKS , MATLAB , Renewable Energy ,
Electromechanics , Auditing ",Électromécanique,"Sartorius,vide,vide,vide",sartoriusvaleoeuroreparcarservicelesandelys,Sartorius
Je suis motivée et j'essaye toujours de faire de mon mieux pour apprendre.,Ingénieur full stack (Java/ Angular),Esprit,Institut préparatoire aux études d'ingénieurs d'El Manar (IPEIEM),vide,0.0,EF SET English Certificate 72/100 (C2 Proficient) / Scrum Fundamentals Certified,vide,,vide,,vide,,,,,vide,vide,vide,"Angular , JavaScript, Java ,  MySQL , HTML5 , React.js , Java8 , AngularJs , Node.js",Génie Logiciel,"vide,vide,vide,vide",,vide
"Ingénieur en informatique spécialité : Business Intelligence diplômée de l'École Sup Privée d'ingénierie et de Technologies ESPRIT, avec une large connaissance en différents outils de manipulation des données et même en system ERP ODOO, passionnée par les techniques innovants & avancés. Aussi hâte d'apprendre, dynamique, je suis toujours en quête d'atteindre mes limites et de les surpasser et ceci en intégrant une équipe agile et motivée.",ingénieur en informatique décisionnelle,Esprit,"
IPEIN - Institut Préparatoire aux Études d'Ingénieur de Nabeul",vide,0.0,"FUNDAMENTALS OF DEEP LEARNING FOR COMPUTER VISION /
IELTS ACADEMIC / L
Data Analysis with Python",vide,,vide,,vide,,,Sentinel Data,BFI Groupe,ODDO BHF,Levio,vide,"Data Analysis , odod , Big Data , Informatique décisionnelle , Data Warehouse , Data Structure , Python ,
 Machine Learning  , SQL Server ,SQL Server Integration Services (SSIS) , SQL Server Reporting Services (SSRS) ,  MongoDB ,Power Bi , Talend , REd Hat Jboss , Data Visualization , OpenERP",ERP-BI,"vide,vide,vide,vide",sentineldatabfigroupe,vide
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,Étudiant,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,"Maintenance préventive , Management , Analyse des modes de défaillance et de leurs effets , SAP ERP ",Électromécanique,"vide,vide,vide,vide",,vide
"Je suis un développeur web dynamique ,autonome ayant le goût de la performance. ",Full Stack Developer,Esprit,Institut supérieur d'informatique Ariana,vide,0.0,vide,Java Developer,CAPIT,Full Stack Developer(JAVA/SPRINGBOOT/ANGULAR),Fulfillment Bridge,vide,,,GetWireless,NeoXam,Apollo medical tunisie,Tunisie Télécom,vide,"ASP.NET , Java EE ,  JavaScript , MySQL , Java  , NoSQL , SQL , ASP , Symfony ,  Angular ",TWIN,"CAPIT,Fulfillment Bridge,vide,vide",capitfulfillmentbridgegetwirelessneoxam,CAPITFulfillmentBridge
"Learning is a life-time process and learning more about Artificial Intelligence only pushes me to contribute and project my vision into real-life problems. What I enjoy most is using the data to answer many queries and find answers. Even through it's challenging, I take so much pleasure in seeking the best solution. I also love reading and this keeps me updated and keeps my vision sharp.",Data Scientist,Esprit,Faculté des sciences de Tunis,vide,0.0,How to Win a Data Science Competition: Learn from Top Kagglers /  Fundamentals of Deep Learning for Computer Vision / DELF : Diplôme d'études en langue française (niveau B2),Data Scientist,XQuant,Data Scientist / AI Researcher,Kam Company GmbH,vide,,,InstaDeep Ltd,Tunivisions Technologies,Mitakus analytics,Société Nationale Immobilière de Tunisie (SNIT),vide,"Machine Learning , NLP , Analyse de données , BI , SQL ,  Python ,  R , Microsoft SQL Server , PL/SQL , Data warehousing , ETL , Codelgniter , Deep Learning , Text Mining , 
Statistical analysis",Data Science,"XQuant,Kam Company GmbH,vide,vide",xquantkamcompanygmbhinstadeepltdtunivisionstechnologies,XQuantKamCompanyGmbH
"I am a self-employed, self-motivated, and self-taught developer. I am technically qualified and talented in web development. I have strong knowledge in the software development life cycle from requirements gathering, analysis, and design to development, testing, and optimization. I am a good team player. I value efficiency, consistency, and positive thinking.",vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,Civil engineer,Esprit,Institut Superieur des Technologies de l’Environnement de l’Urbanisme et de Bâtiment (ISTEUB),vide,0.0,FUNDAMENTALS OF DEEP LEARNING FOR COMPUTER VISION / Revit Structure Certified Professional,Design engineer,LEICHT France S.A.S,vide,,vide,,,GWorks Construction,Le consultant ingenierie LCI,constractor sa,vide,vide,"Conception , Béton armé , 
Matériau de construction , 
Modélisation des informations de construction (BIM) , AutoCAD , Revit , piste , 
Robot Structural Analysis , 
Arche graitec",Génie Civil,"LEICHT France S.A.S,vide,vide,vide",leichtfrancesasgworksconstructionleconsultantingenierielci,LEICHTFranceSAS
Full Stack web Development,Software Engineer,Esprit,Institut supérieur d'informatique,vide,0.0,vide,vide,,vide,,vide,,,Digitalis,Premium multi Services,ORAMA.TN,vide,vide,"Java , JavaScript , ASP.NET , Java EE , PHP , MySQL , Node.js , NoSQL , AngularJs , React.Js , Express.js , MongoDB ",Génie Logiciel,"vide,vide,vide,vide",digitalispremiummultiservices,vide
"A data-driven, energetic and detail-oriented BI consultant with a strong educational background in engineering science and information technology.",Consultant business intelligence,Esprit,Université de Tunis El Manar,vide,0.0,Taking Security Home: Working Remotely Amadeus  / Spot the Phish Game Amadeus / NVIDIA Deep learning,Consultant BI,Yellowsys,Business Intelligence & Functional Consultant,Amadeus,vide,,,KPMG Tunisie,Spark-it Group,Levio,ODDO BHF,vide,"Talend , ASP.NET , Data Mining , SQL , PostgreSQL ,  Power Bi , Tableau  ,  Microsoft Dynamics NAV , MySQL , SAP BW , SAP ABAP , R , MongoDB , PL/SQL  , Big data , Data Warehouse ",ERP-BI,"Yellowsys,Amadeus,vide,vide",yellowsysamadeuskpmgtunisiesparkitgroup,YellowsysAmadeus
"Data Engineer et Analyste diplômé par l'École Supérieure Privée d’Ingénierie et de Technologies (ESPRIT), ingénieur informatique spécialisé en Business Intelligence avec une forte connaissance et expérience avec les outils ETL, Visualisation des données, Data Science et Big Data.",Data Engineer et Analyste,Esprit,"
IPEIN - Institut Préparatoire aux Études d'Ingénieur de Nabeul",vide,0.0,"Google Cloud Platform Big Data and Machine Learning Fundamentals 
Google Cloud / Cognitive Class
Big Data Cognitive Class /  
Big Data Essentials: HDFS, MapReduce and Spark RDD (avec mention)  Yandex / ","
Data Engineer et Analyste",Enda Tamweel,vide,,vide,,,Enda Tamweel,ODDO BHF,vide,vide,vide,"Big Data  , Extraire, transformer, charger (ETL) , Analyse de données ,  Microsoft SQL Server , Oracle , R ,MySQL , NoSQL , MapReduce , Tableau , 
SQL Server Reporting Services (SSRS) , SQL Server Integration Services (SSIS) , Hadoop ,  Talend , Power BI , MongoDB ",ERP-BI,"Enda Tamweel,vide,vide,vide",endatamweelendatamweeloddobhf,EndaTamweel
vide,Développeur Full Stack,Esprit,"
IPEIN - Institut Préparatoire aux Études d'Ingénieur de Nabeul",vide,0.0,vide,Développeur Full Stack,Tech1,Développeur Full Stack,Freelance,vide,,,Sofrecom ·,STB Bank الشركة التونسية للبنك,SERGAZ (Eni group),vide,vide," Java , Angular , Architecture orientée services (SOA) , PHP , Pl/SQL , MongoDB , Android , Java EE , JavaScript , HTML5 , Hibernate",Génie Logiciel,"Tech1,Freelance,vide,vide",*stbbanklshrk@ltwnsy@llbnk,vide
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
"I am Ahmed Hamzaoui, a software engineer with 2 years of professional experience specialized in web and mobile development. I do the back end and the front end development.","Développeur application mobile (Android, Flutter)",Esprit,"
IPEIN - Institut Préparatoire aux Études d'Ingénieur de Nabeul",vide,0.0,vide,Mobile Developer,Envidual,Full Stack Developer,MEDISinn Plattform GmbH,"
Full stack developer : .Net Core / Angular / Flutter",Manitoo,,Manitoo,GlobalNet Tunisie,vide,vide,vide,"Flutter , Angular  , Android ,  Java , IOS, Node.js , JavaSCript ,PHP , HTML , Python , Java EE , Swift , React.js , Jenkins , Docker ,  Kotlin , React Native , Dart",Génie Logiciel,"Envidual,MEDISinn Plattform GmbH,Manitoo,vide",envidualmedisinnplattformgmbhmanitooglobalnettunisie,EnvidualMEDISinnPlattformGmbH
vide,ingénieur informatique,Esprit,Faculté Des Sciences De Monastir,vide,0.0,vide,vide,,vide,,vide,,,"Esprit-Tech, équipe RDI","Esprit-Tech, équipe RDI",vide,vide,vide,"Spring boot , Spring , security , JavaSCript , Service WEb RESTful , Java EE , MySQL , Mave , Angular8 , TypeScript , Java ",Génie Logiciel,"vide,vide,vide,vide",esprittechequiperdiesprittechequiperdi,vide
vide,Data Engineer,Esprit,vide,vide,0.0,vide,Big Data Engineer,Orange Tunisie,vide,,vide,,,Ooredoo Tunisie ·,Datarox,Telnet,vide,vide,"Analyse Big Data , Apache Spark , Scala , Data WareHouse , Hadoop , 
Extract, Transform, Load (ETL) , 
SQL Server Integration Services (SSIS) , 
SQL Server Reporting Services (SSRS) , 
SQL Server Management Studio , Apache KafKa , Tableau
SQL Server Analysis Services",ERP-BI,"Orange Tunisie,vide,vide,vide",orangetunisieooredootunisie*datarox,OrangeTunisie
Je suis fraîchement titulaire d’un diplôme d’ingénieur en électromécanique de l'école supérieure privée d'ingénierie et de technologie ESPRIT.,Ingénieur électromécanique,Esprit,Institut Supérieur des Sciences Appliquées et de Technologie de gabes,vide,0.0,Certified SolidWorks Associate-simulation (CSWA-S)  DS SolidWorks Corporation / Certified SolidWorks professionnel (CSWP)  DS SolidWorks Corporation / certificat de formation Gestion de risque Spectrum Training Center / certificat de formation d’Hygiène industrielle Spectrum Training Center,vide,,vide,,vide,,,Société Tunisienne d'Electricité et de Gaz,Taleb smart security,vide,vide,vide,"Arduino , Robotique , Solidworks , QHSE , VHDL ,CATIA , Matlab , Aéronautique , psim , ModelSim , ALTUIM , Ventilation , TIA-Prtal",Électromécanique,"vide,vide,vide,vide",societetunisiennedelectriciteetdegaztalebsmartsecurity,vide
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
vide,vide,Esprit,vide,vide,0.0,vide,vide,,vide,,vide,,,,,vide,vide,vide,vide,vide,"vide,vide,vide,vide",,vide
