Option,CountryOfWork,Company,TypeOfCompany,jobDate1,jobDate2,Duree,Description,skill1,skill2,skill3,skill4,skill5,Allskills,Job Rate,Monthly Salary
GL,Tunisia,Vermeg,Other,2022-12-21 00:00:00,2022-04-17 00:00:00,248,"The skills are : Framework Spring , jQuery , .NET framework , PL/SQL",.NET framework,jQuery,PL/SQL,Framework Spring, ,".NET framework,jQuery,PL/SQL,Framework Spring, ","4,5",2804
Cloud Computing,Tunisia,Decade,Multinational (MNC),2022-02-22 00:00:00,2022-04-17 00:00:00,54,"we need : Sécurité réseau , Infrastructure , Automatisation des tests , DevOps",DevOps,Infrastructure,Automatisation des tests,Sécurité réseau, ,"DevOps,Infrastructure,Automatisation des tests,Sécurité réseau, ",5,1467
Cloud Computing,Tunisia,SOFT-PRO,Private (non-MNC),2022-04-19 00:00:00,2022-04-17 00:00:00,2,"we used to working with : Cloud Computing , Sécurité réseau , Routeurs Cisco",Routeurs Cisco,Cloud Computing,Sécurité réseau, , ,"Routeurs Cisco,Cloud Computing,Sécurité réseau, , ",5,997
TWIN,Tunisia,Sofrecom,Multinational (MNC),2022-07-21 00:00:00,2021-08-01 00:00:00,354,"The skills are : Node.js , CSS , J2EE Web Services , HTML , Développement front-end",Développement front-end,CSS,Node.js,HTML,J2EE Web Services,"Développement front-end,CSS,Node.js,HTML,J2EE Web Services",5,1859
ERP-BI,Asia,AVL,Private (non-MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"we are looking for person with this skills  : Talend , IBM Cognos , R , Tableau Software",IBM Cognos,Tableau Software,R,Talend, ,"IBM Cognos,Tableau Software,R,Talend, ",1,1231
Data Science,Germany,ALDI SUD,Multinational (MNC),2022-02-19 00:00:00,2019-06-01 00:00:00,994,"The top skills in demand  : Analyses Big Data , Statistiques , TensorFlow , R",Statistiques,TensorFlow,R,Analyses Big Data, ,"Statistiques,TensorFlow,R,Analyses Big Data, ",5,719
TWIN,Tunisia,Zerda Digital,Private (non-MNC),1970-01-01 00:00:00,2022-04-17 00:00:00,19099,"we need : Angular/JS , Développement front-end , Node.js",Développement front-end,Node.js,Angular/JS, , ,"Développement front-end,Node.js,Angular/JS, , ",1,2186
GL,Canada,Stantec,Multinational (MNC),2022-02-21 00:00:00,2021-07-01 00:00:00,235,"The skills are : Qt , MongoDB , jQuery",jQuery,MongoDB,Qt, , ,"jQuery,MongoDB,Qt, , ","4,5",1605
GL,Tunisia,ADACTIM,Private (non-MNC),2022-07-20 00:00:00,2022-04-17 00:00:00,94,"we used to working with : Java Enterprise Edition , MongoDB , Maven , UML , PL/SQL",Java Enterprise Edition,UML,PL/SQL,Maven,MongoDB,"Java Enterprise Edition,UML,PL/SQL,Maven,MongoDB",1,2365
ERP-BI,Tunisia,Majesteye,Multinational (MNC),2022-03-19 00:00:00,2022-04-17 00:00:00,29,"you should be competent at : IBM Cognos , Informatique décisionnelle , R , Talend , Power BI",Informatique décisionnelle,Power BI,IBM Cognos,R,Talend,"Informatique décisionnelle,Power BI,IBM Cognos,R,Talend","4,5",1096
TWIN,France,Amundi,Private (non-MNC),2022-06-19 00:00:00,2019-07-01 00:00:00,1084,"The skills are : J2EE Web Services , mysql , Node.js",Node.js,mysql,J2EE Web Services, , ,"Node.js,mysql,J2EE Web Services, , ",3,1037
SIM,France,Le Pot Commun,Multinational (MNC),2022-08-19 00:00:00,2021-03-01 00:00:00,536,"The top skills in demand  : stm32CubeMX , Arduino , flutter , Altuim , C ++",flutter,C ++,Arduino,Altuim,stm32CubeMX,"flutter,C ++,Arduino,Altuim,stm32CubeMX",2,1757
SIM,Tunisia,"Kamioun - كميون
",Multinational (MNC),2022-05-19 00:00:00,2022-04-17 00:00:00,32,"we used to working with : Altuim , C ++ , flutter , Maple",flutter,C ++,Maple,Altuim, ,"flutter,C ++,Maple,Altuim, ",5,3405
GL,Africa,Matys Support Services,Private (non-MNC),2022-06-19 00:00:00,2022-04-17 00:00:00,63,"you should be competent at : UML , .NET framework , Framework Spring , AJAX",.NET framework,AJAX,UML,Framework Spring, ,".NET framework,AJAX,UML,Framework Spring, ",5,2154
GL,Tunisia,Vermeg,Private (non-MNC),2022-02-21 00:00:00,2022-04-17 00:00:00,55,"The top skills in demand  : PL/SQL , AJAX , NoSQL , Framework Spring , jQuery",AJAX,jQuery,PL/SQL,NoSQL,Framework Spring,"AJAX,jQuery,PL/SQL,NoSQL,Framework Spring",2,805
SLEAM,France,Altran,Private (non-MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"you should be competent at : Express.js , jQuery , yii2 framework , PHP",PHP,jQuery,yii2 framework,Express.js, ,"PHP,jQuery,yii2 framework,Express.js, ","4,5",3093
TWIN,France,SUEZ France,Other,2022-12-20 00:00:00,2022-04-17 00:00:00,247,"we used to working with : Angular/JS , Développement front-end , HTML , Node.js , mysql",Développement front-end,Node.js,HTML,Angular/JS,mysql,"Développement front-end,Node.js,HTML,Angular/JS,mysql",3,1039
TWIN,Tunisia,Xtensus,Multinational (MNC),2022-11-19 00:00:00,2022-04-17 00:00:00,216,"we used to working with : Node.js , mysql , J2EE Web Services",Node.js,mysql,J2EE Web Services, , ,"Node.js,mysql,J2EE Web Services, , ",3,1012
Cloud Computing,Tunisia,Vermeg,Other,2022-12-21 00:00:00,2022-04-17 00:00:00,248,"The skills are : Infrastructure , Développement de logiciel , Virtualisation , Docker",Docker,Infrastructure,Développement de logiciel,Virtualisation, ,"Docker,Infrastructure,Développement de logiciel,Virtualisation, ",2,2216
Cloud Computing,Tunisia,Think-it,Other,2022-01-20 00:00:00,2022-04-17 00:00:00,87,"you should be competent at : Cloud Computing , Sécurité dans le cloud , DevOps , Automatisation des tests",DevOps,Automatisation des tests,Sécurité dans le cloud,Cloud Computing, ,"DevOps,Automatisation des tests,Sécurité dans le cloud,Cloud Computing, ","4,5",2020
NIDS,Tunisia,Adecco,Multinational (MNC),2022-09-20 00:00:00,2022-04-17 00:00:00,156,"we used to working with : sécurité des systèmes dinformation , Linux , Logstash",sécurité des systèmes dinformation,Logstash,Linux, , ,"sécurité des systèmes dinformation,Logstash,Linux, , ","4,5",3309
GL,Tunisia,Vega groupe,Private (non-MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"you should be competent at : Qt , AJAX , .NET framework",.NET framework,AJAX,Qt, , ,".NET framework,AJAX,Qt, , ",2,983
SLEAM,France,Sopra,Private (non-MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"The skills are : PHP , yii2 framework , Express.js , DK Android , jQuery",DK Android,PHP,jQuery,yii2 framework,Express.js,"DK Android,PHP,jQuery,yii2 framework,Express.js",3,741
ERP-BI,Tunisia,Binit Nearshore Services,Private (non-MNC),2022-06-19 00:00:00,2019-08-01 00:00:00,1053,"you should be competent at : Talend , IBM Cognos , R , Informatique décisionnelle , Tableau Software",Informatique décisionnelle,IBM Cognos,Tableau Software,R,Talend,"Informatique décisionnelle,IBM Cognos,Tableau Software,R,Talend","4,5",1171
Data Science,Tunisia,Club med,Private (non-MNC),2022-05-20 00:00:00,2022-04-17 00:00:00,33,"The skills are : Analyse de données , Statistiques , R , Machine learning , Python",Machine learning,Analyse de données,Statistiques,Python,R,"Machine learning,Analyse de données,Statistiques,Python,R",5,2512
Data Science,France,HP,Multinational (MNC),2022-12-21 00:00:00,2022-04-17 00:00:00,248,"we are looking for person with this skills  : Analyse de données , R , Analyses Big Data , Python",Analyse de données,Python,R,Analyses Big Data, ,"Analyse de données,Python,R,Analyses Big Data, ",1,1608
ERP-BI,France,CGI,Private (non-MNC),2022-02-22 00:00:00,2022-04-17 00:00:00,54,"we used to working with : Informatique décisionnelle , IBM Cognos , Tableau Software",Informatique décisionnelle,IBM Cognos,Tableau Software, , ,"Informatique décisionnelle,IBM Cognos,Tableau Software, , ",1,1677
TWIN,Tunisia,CXG,Private (non-MNC),2022-11-20 00:00:00,2022-04-17 00:00:00,217,"we are looking for person with this skills  : Node.js , Développement front-end , HTML",Développement front-end,Node.js,HTML, , ,"Développement front-end,Node.js,HTML, , ",5,3414
TWIN,France,Stellantis,Multinational (MNC),2022-07-18 00:00:00,2022-04-17 00:00:00,92,"In my academic journey i ve learned : Angular/JS , J2EE Web Services , PHP",PHP,Angular/JS,J2EE Web Services, , ,"PHP,Angular/JS,J2EE Web Services, , ",5,1358
Data Science,Germany,HelloFresh,Multinational (MNC),2022-02-21 00:00:00,2022-04-17 00:00:00,55,"we need : Analyses Big Data , R , Statistiques",Statistiques,R,Analyses Big Data, , ,"Statistiques,R,Analyses Big Data, , ","4,5",703
INFINI,Germany,Amazon,Multinational (MNC),2022-01-22 00:00:00,2022-04-17 00:00:00,85,"you should be competent at : Cash Flow Management , Financial Management , Financial Reporting , Communication , finance ",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",2,2017
GL,Canada,cisco,Multinational (MNC),2022-08-20 00:00:00,2022-04-17 00:00:00,125,"we used to working with : jQuery , UML , Qt , Java Enterprise Edition",Java Enterprise Edition,jQuery,UML,Qt, ,"Java Enterprise Edition,jQuery,UML,Qt, ",5,1806
INFINI,Asia,NOVOMATIC,Private (non-MNC),2022-11-19 00:00:00,2022-04-17 00:00:00,216,"we used to working with : Cash Flow Management , Financial Management , finance  , Communication , Financial Reporting",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",3,2421
INFINI,Europe,GMV,Other,2022-11-21 00:00:00,2022-04-17 00:00:00,218,"we need : Financial Management , Communication , Financial Reporting , Cash Flow Management , finance ",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",5,1461
GL,Tunisia,Vermeg,Private (non-MNC),2022-07-21 00:00:00,2021-09-01 00:00:00,323,"The top skills in demand  : Qt , NoSQL , AJAX , Java Enterprise Edition , UML",Java Enterprise Edition,AJAX,UML,NoSQL,Qt,"Java Enterprise Edition,AJAX,UML,NoSQL,Qt",1,1287
INFINI,Tunisia,Open Bee,Multinational (MNC),2022-11-19 00:00:00,2021-06-01 00:00:00,536,"The top skills in demand  : finance  , Financial Reporting , Cash Flow Management",finance ,Financial Reporting,Cash Flow Management, , ,"finance ,Financial Reporting,Cash Flow Management, , ",3,2756
TWIN,Tunisia,Galactech LLC,Private (non-MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"In my academic journey i ve learned : Développement front-end , Angular/JS , HTML , PHP",Développement front-end,HTML,PHP,Angular/JS, ,"Développement front-end,HTML,PHP,Angular/JS, ",5,2332
GL,Germany,Bayer,Multinational (MNC),2022-12-20 00:00:00,2021-04-01 00:00:00,628,"you should be competent at : Framework Spring , Java Enterprise Edition , NoSQL , UML , jQuery",Java Enterprise Edition,jQuery,UML,NoSQL,Framework Spring,"Java Enterprise Edition,jQuery,UML,NoSQL,Framework Spring",3,812
GL,Tunisia,Batimod Modern Building Company,Multinational (MNC),2022-02-21 00:00:00,2021-06-01 00:00:00,265,"The skills are : AJAX , .NET framework , NoSQL",.NET framework,AJAX,NoSQL, , ,".NET framework,AJAX,NoSQL, , ",1,2651
NIDS,Canada,Avanade,Multinational (MNC),2022-11-21 00:00:00,2022-04-17 00:00:00,218,"we used to working with : Linux , Test d’intrusion , sécurité des systèmes dinformation , Fluentd , Logstash",sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd,Linux,"sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd,Linux","4,5",2331
GL,Canada,Accenture,Multinational (MNC),2022-07-18 00:00:00,2018-08-01 00:00:00,1447,"The top skills in demand  : MongoDB , PL/SQL , .NET framework",.NET framework,PL/SQL,MongoDB, , ,".NET framework,PL/SQL,MongoDB, , ",5,2162
TWIN,France,Wecraft,Private (non-MNC),2022-01-20 00:00:00,2022-04-17 00:00:00,87,"The top skills in demand  : Node.js , HTML , CSS , Développement front-end",Développement front-end,CSS,Node.js,HTML, ,"Développement front-end,CSS,Node.js,HTML, ",3,1952
TWIN,Europe,TieTalent,Other,2022-04-17 00:00:00,2018-04-01 00:00:00,1477,"we are looking for person with this skills  : Angular/JS , PHP , J2EE Web Services",PHP,Angular/JS,J2EE Web Services, , ,"PHP,Angular/JS,J2EE Web Services, , ","4,5",2976
INFINI,Tunisia,Hutchinson,Private (non-MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"In my academic journey i ve learned : Cash Flow Management , finance  , Financial Management",finance ,Cash Flow Management,Financial Management, , ,"finance ,Cash Flow Management,Financial Management, , ",5,2080
NIDS,Europe,TMC,Private (non-MNC),2022-11-21 00:00:00,2022-04-17 00:00:00,218,"The skills are : Fluentd , Logstash , Linux , sécurité des systèmes dinformation , Test d’intrusion",sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd,Linux,"sécurité des systèmes dinformation,Test d’intrusion,Logstash,Fluentd,Linux","4,5",1668
NIDS,France,IBM,Multinational (MNC),2022-07-21 00:00:00,2021-08-01 00:00:00,354,"you should be competent at : sécurité des systèmes dinformation , Fluentd , Test d’intrusion",sécurité des systèmes dinformation,Test d’intrusion,Fluentd, , ,"sécurité des systèmes dinformation,Test d’intrusion,Fluentd, , ",5,2234
INFINI,France,Ontiime,Multinational (MNC),2022-06-21 00:00:00,2022-04-17 00:00:00,65,"we need : Financial Reporting , Cash Flow Management , Financial Management , Communication , finance ",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",3,2096
TWIN,Canada,RBC,Multinational (MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"we used to working with : J2EE Web Services , PHP , Développement front-end",Développement front-end,PHP,J2EE Web Services, , ,"Développement front-end,PHP,J2EE Web Services, , ",3,2129
Cloud Computing,France,womia,Other,2022-07-20 00:00:00,2022-04-17 00:00:00,94,"The top skills in demand  : Docker , Développement de logiciel , Virtualisation",Docker,Développement de logiciel,Virtualisation, , ,"Docker,Développement de logiciel,Virtualisation, , ",3,1429
TWIN,Germany,Inheaden,Other,2022-02-21 00:00:00,2022-04-17 00:00:00,55,"we are looking for person with this skills  : CSS , Angular/JS , Développement front-end , J2EE Web Services",Développement front-end,CSS,Angular/JS,J2EE Web Services, ,"Développement front-end,CSS,Angular/JS,J2EE Web Services, ",3,1479
TWIN,Europe,Migros Online,Private (non-MNC),2022-08-18 00:00:00,2022-04-17 00:00:00,123,"In my academic journey i ve learned : mysql , CSS , J2EE Web Services",CSS,mysql,J2EE Web Services, , ,"CSS,mysql,J2EE Web Services, , ",5,2884
SIM,Tunisia,Inetum,Private (non-MNC),2022-02-22 00:00:00,2022-04-17 00:00:00,54,"we need : stm32CubeMX , Altuim , Maple , flutter",flutter,Maple,Altuim,stm32CubeMX, ,"flutter,Maple,Altuim,stm32CubeMX, ",3,2947
ERP-BI,Tunisia,ADP,Other,2022-10-21 00:00:00,2022-04-17 00:00:00,187,"we used to working with : R , Informatique décisionnelle , Talend , Analyses Big Data",Informatique décisionnelle,R,Analyses Big Data,Talend, ,"Informatique décisionnelle,R,Analyses Big Data,Talend, ",1,1795
GL,Tunisia,Neo-Soft Groupe,Other,2022-10-20 00:00:00,2022-04-17 00:00:00,186,"we need : Maven , jQuery , Framework Spring , Qt",jQuery,Maven,Framework Spring,Qt, ,"jQuery,Maven,Framework Spring,Qt, ",5,1982
TWIN,Europe,FARFETECH,Multinational (MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"we need : CSS , mysql , Node.js , HTML , PHP",CSS,Node.js,HTML,PHP,mysql,"CSS,Node.js,HTML,PHP,mysql",5,2543
ERP-BI,France,Casino,Other,2022-06-21 00:00:00,2022-04-17 00:00:00,65,"you should be competent at : Tableau Software , Power BI , R , Informatique décisionnelle",Informatique décisionnelle,Power BI,Tableau Software,R, ,"Informatique décisionnelle,Power BI,Tableau Software,R, ",3,2787
Cloud Computing,Tunisia,Talentup,Private (non-MNC),2022-01-21 00:00:00,2022-04-17 00:00:00,86,"we are looking for person with this skills  : Infrastructure , Virtualisation , Sécurité dans le cloud , Automatisation des tests , DevOps",DevOps,Infrastructure,Automatisation des tests,Sécurité dans le cloud,Virtualisation,"DevOps,Infrastructure,Automatisation des tests,Sécurité dans le cloud,Virtualisation",5,1095
INFINI,Tunisia,BH Banque,Private (non-MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"In my academic journey i ve learned : Financial Reporting , finance  , Cash Flow Management",finance ,Financial Reporting,Cash Flow Management, , ,"finance ,Financial Reporting,Cash Flow Management, , ",5,2009
ERP-BI,Tunisia,Floussi,Private (non-MNC),2022-10-21 00:00:00,2022-01-01 00:00:00,293,"In my academic journey i ve learned : Talend , Informatique décisionnelle , R , Tableau Software , Power BI",Informatique décisionnelle,Power BI,Tableau Software,R,Talend,"Informatique décisionnelle,Power BI,Tableau Software,R,Talend",3,1837
TWIN,Canada,Stantec,Multinational (MNC),2022-01-22 00:00:00,2022-04-17 00:00:00,85,"The skills are : mysql , J2EE Web Services , Développement front-end , CSS , Node.js",Développement front-end,CSS,Node.js,mysql,J2EE Web Services,"Développement front-end,CSS,Node.js,mysql,J2EE Web Services",3,3109
GL,Tunisia,Acronis,Multinational (MNC),2022-01-21 00:00:00,2022-04-17 00:00:00,86,"we are looking for person with this skills  : MongoDB , Framework Spring , .NET framework",.NET framework,MongoDB,Framework Spring, , ,".NET framework,MongoDB,Framework Spring, , ",5,2832
TWIN,France,TheCodingMachine,Multinational (MNC),2022-11-21 00:00:00,2022-04-17 00:00:00,218,"we are looking for person with this skills  : Développement front-end , PHP , mysql , J2EE Web Services , Node.js",Développement front-end,Node.js,PHP,mysql,J2EE Web Services,"Développement front-end,Node.js,PHP,mysql,J2EE Web Services",1,2940
ERP-BI,Tunisia,Hli Tunisie,Multinational (MNC),2022-11-21 00:00:00,2022-04-17 00:00:00,218,"In my academic journey i ve learned : Informatique décisionnelle , Talend , IBM Cognos , R , Analyses Big Data",Informatique décisionnelle,IBM Cognos,R,Analyses Big Data,Talend,"Informatique décisionnelle,IBM Cognos,R,Analyses Big Data,Talend",5,983
Data Science,France,Meta,Other,2022-09-21 00:00:00,2022-04-17 00:00:00,157,"we used to working with : TensorFlow , Statistiques , Analyses Big Data , Python , Machine learning",Machine learning,Statistiques,Python,TensorFlow,Analyses Big Data,"Machine learning,Statistiques,Python,TensorFlow,Analyses Big Data",1,1223
SLEAM,Tunisia,Yassir,Private (non-MNC),2022-02-19 00:00:00,2022-04-17 00:00:00,57,"In my academic journey i ve learned : Express.js , yii2 framework , PHP",PHP,yii2 framework,Express.js, , ,"PHP,yii2 framework,Express.js, , ",1,833
Data Science,Europe,Abbott,Other,2022-05-21 00:00:00,2022-04-17 00:00:00,34,"we need : Deep learning , Analyses Big Data , Python , Machine learning , TensorFlow",Machine learning,Deep learning,Python,TensorFlow,Analyses Big Data,"Machine learning,Deep learning,Python,TensorFlow,Analyses Big Data",3,2074
TWIN,Tunisia,Infor,Multinational (MNC),2022-12-20 00:00:00,2022-04-17 00:00:00,247,"we are looking for person with this skills  : Angular/JS , mysql , J2EE Web Services , CSS",CSS,Angular/JS,mysql,J2EE Web Services, ,"CSS,Angular/JS,mysql,J2EE Web Services, ",3,2811
GL,Tunisia,sofrecom,Multinational (MNC),2022-09-19 00:00:00,2022-04-17 00:00:00,155,"In my academic journey i ve learned : Framework Spring , Qt , Java Enterprise Edition",Java Enterprise Edition,Framework Spring,Qt, , ,"Java Enterprise Edition,Framework Spring,Qt, , ","4,5",1436
NIDS,Germany,UpFlat,Multinational (MNC),2022-06-21 00:00:00,2021-12-01 00:00:00,202,"The skills are : Linux , Fluentd , Test d’intrusion , sécurité des systèmes dinformation",sécurité des systèmes dinformation,Test d’intrusion,Fluentd,Linux, ,"sécurité des systèmes dinformation,Test d’intrusion,Fluentd,Linux, ",2,1041
TWIN,France,Thales,Private (non-MNC),2022-01-22 00:00:00,2022-04-17 00:00:00,85,"we need : J2EE Web Services , CSS , mysql , HTML , PHP",CSS,HTML,PHP,mysql,J2EE Web Services,"CSS,HTML,PHP,mysql,J2EE Web Services",3,2231
Cloud Computing,Tunisia,ODDO BHF,Private (non-MNC),2022-05-21 00:00:00,2022-04-17 00:00:00,34,"we are looking for person with this skills  : Sécurité réseau , Automatisation des tests , Cloud Computing , Développement de logiciel",Développement de logiciel,Automatisation des tests,Cloud Computing,Sécurité réseau, ,"Développement de logiciel,Automatisation des tests,Cloud Computing,Sécurité réseau, ",3,1036
Data Science,France,Carrefour,Other,2022-10-20 00:00:00,2021-06-01 00:00:00,506,"you should be competent at : Analyses Big Data , Python , R , TensorFlow",Python,TensorFlow,R,Analyses Big Data, ,"Python,TensorFlow,R,Analyses Big Data, ",5,2143
Data Science,France,ENGIE Digital,Multinational (MNC),2022-07-21 00:00:00,2022-04-17 00:00:00,95,"The skills are : Python , Analyses Big Data , Deep learning , Analyse de données , TensorFlow",Deep learning,Analyse de données,Python,TensorFlow,Analyses Big Data,"Deep learning,Analyse de données,Python,TensorFlow,Analyses Big Data",5,967
TWIN,Tunisia,Cooptalis,Multinational (MNC),2022-01-22 00:00:00,2022-04-17 00:00:00,85,"you should be competent at : Développement front-end , HTML , PHP , mysql , Angular/JS",Développement front-end,HTML,PHP,Angular/JS,mysql,"Développement front-end,HTML,PHP,Angular/JS,mysql",1,2510
TWIN,Tunisia,Think-it,Private (non-MNC),2022-06-21 00:00:00,2022-04-17 00:00:00,65,"In my academic journey i ve learned : CSS , HTML , PHP",CSS,HTML,PHP, , ,"CSS,HTML,PHP, , ",2,3364
INFINI,France,Schneider Electric,Other,2022-01-21 00:00:00,2022-04-17 00:00:00,86,"The top skills in demand  : Cash Flow Management , Communication , finance  , Financial Management , Financial Reporting",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",5,3420
TWIN,France,Magellium,Other,2022-11-20 00:00:00,2022-04-17 00:00:00,217,"we used to working with : PHP , HTML , J2EE Web Services , Node.js",Node.js,HTML,PHP,J2EE Web Services, ,"Node.js,HTML,PHP,J2EE Web Services, ",3,2229
INFINI,Tunisia,Vermeg,Private (non-MNC),2022-11-20 00:00:00,2021-10-01 00:00:00,415,"The top skills in demand  : Communication , Cash Flow Management , Financial Management , Financial Reporting , finance ",finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication,"finance ,Financial Reporting,Cash Flow Management,Financial Management,Communication",5,1910
GL,Germany,german technology auto service,Private (non-MNC),2022-10-19 00:00:00,2022-04-17 00:00:00,185,"we are looking for person with this skills  : Java Enterprise Edition , PL/SQL , Qt",Java Enterprise Edition,PL/SQL,Qt, , ,"Java Enterprise Edition,PL/SQL,Qt, , ","4,5",1917
TWIN,France,TheCodingMachine,Private (non-MNC),2022-01-21 00:00:00,2022-04-17 00:00:00,86,"The top skills in demand  : Node.js , Développement front-end , mysql , Angular/JS , HTML",Développement front-end,Node.js,HTML,Angular/JS,mysql,"Développement front-end,Node.js,HTML,Angular/JS,mysql",1,831
SLEAM,France,Le Pot Commun,Private (non-MNC),2022-11-20 00:00:00,2022-04-17 00:00:00,217,"you should be competent at : DK Android , Express.js , jQuery , PHP , yii2 framework",DK Android,PHP,jQuery,yii2 framework,Express.js,"DK Android,PHP,jQuery,yii2 framework,Express.js","4,5",2636
SLEAM,Tunisia,ENNAKL Automobiles,Multinational (MNC),2022-10-20 00:00:00,2022-04-17 00:00:00,186,"In my academic journey i ve learned : Express.js , DK Android , jQuery , yii2 framework , PHP",DK Android,PHP,jQuery,yii2 framework,Express.js,"DK Android,PHP,jQuery,yii2 framework,Express.js",2,2929
GL,France,egis,Multinational (MNC),2022-12-17 00:00:00,2022-04-17 00:00:00,244,"you should be competent at : jQuery , Maven , AJAX , MongoDB , PL/SQL",AJAX,jQuery,PL/SQL,Maven,MongoDB,"AJAX,jQuery,PL/SQL,Maven,MongoDB",1,1255
NIDS,Canada,Levio,Private (non-MNC),2022-10-21 00:00:00,2022-04-17 00:00:00,187,"The top skills in demand  : Test d’intrusion , Fluentd , sécurité des systèmes dinformation , Linux",sécurité des systèmes dinformation,Test d’intrusion,Fluentd,Linux, ,"sécurité des systèmes dinformation,Test d’intrusion,Fluentd,Linux, ",3,2210
GL,Tunisia,Vermeg,Other,2022-02-22 00:00:00,2022-04-17 00:00:00,54,"we used to working with : jQuery , NoSQL , .NET framework , Java Enterprise Edition",Java Enterprise Edition,.NET framework,jQuery,NoSQL, ,"Java Enterprise Edition,.NET framework,jQuery,NoSQL, ",5,1788
NIDS,Tunisia,CASE Tunisia,Multinational (MNC),2022-03-20 00:00:00,2022-04-17 00:00:00,28,"we are looking for person with this skills  : Fluentd , Test d’intrusion , Linux",Test d’intrusion,Fluentd,Linux, , ,"Test d’intrusion,Fluentd,Linux, , ",5,2488
NIDS,France,Spark-it Group,Multinational (MNC),2022-01-21 00:00:00,2022-04-17 00:00:00,86,"you should be competent at : Logstash , Fluentd , sécurité des systèmes dinformation , Linux",sécurité des systèmes dinformation,Logstash,Fluentd,Linux, ,"sécurité des systèmes dinformation,Logstash,Fluentd,Linux, ",5,2187
TWIN,Tunisia,Vermeg,Private (non-MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"you should be competent at : PHP , Angular/JS , Node.js , J2EE Web Services",Node.js,PHP,Angular/JS,J2EE Web Services, ,"Node.js,PHP,Angular/JS,J2EE Web Services, ",2,1366
Data Science,France,HP,Private (non-MNC),2022-01-12 00:00:00,2022-04-17 00:00:00,95,"you should be competent at : Python , TensorFlow , Analyse de données , R",Analyse de données,Python,TensorFlow,R, ,"Analyse de données,Python,TensorFlow,R, ",5,2612
SIM,France,ChooseMyCompany,Other,2022-04-20 00:00:00,2022-04-17 00:00:00,3,"The top skills in demand  : stm32CubeMX , Arduino , flutter",flutter,Arduino,stm32CubeMX, , ,"flutter,Arduino,stm32CubeMX, , ",5,2246
Cloud Computing,Canada,Levio,Other,2022-08-20 00:00:00,2020-09-01 00:00:00,718,"we are looking for person with this skills  : Infrastructure , Virtualisation , Automatisation des tests",Infrastructure,Automatisation des tests,Virtualisation, , ,"Infrastructure,Automatisation des tests,Virtualisation, , ",5,2761
ERP-BI,Tunisia,Yellowsys,Private (non-MNC),2022-03-21 00:00:00,2022-04-17 00:00:00,27,"you should be competent at : R , Tableau Software , Analyses Big Data , Talend , Power BI",Power BI,Tableau Software,R,Analyses Big Data,Talend,"Power BI,Tableau Software,R,Analyses Big Data,Talend","4,5",1536
TWIN,Germany,Modis,Private (non-MNC),2022-01-20 00:00:00,2022-04-17 00:00:00,87,"we need : Node.js , PHP , mysql",Node.js,PHP,mysql, , ,"Node.js,PHP,mysql, , ","4,5",2180
Data Science,France,ENGIE Digital,Multinational (MNC),2022-02-18 00:00:00,2022-04-17 00:00:00,58,"In my academic journey i ve learned : Machine learning , Analyse de données , R",Machine learning,Analyse de données,R, , ,"Machine learning,Analyse de données,R, , ",5,3412
ERP-BI,Tunisia,Ekimetrics,Other,2022-11-19 00:00:00,2020-12-01 00:00:00,718,"you should be competent at : Power BI , Tableau Software , Analyses Big Data",Power BI,Tableau Software,Analyses Big Data, , ,"Power BI,Tableau Software,Analyses Big Data, , ","4,5",2546
SIM,Tunisia,Inetum,Private (non-MNC),2022-09-21 00:00:00,2022-04-17 00:00:00,157,"The top skills in demand  : Arduino , C ++ , stm32CubeMX , Maple",C ++,Arduino,Maple,stm32CubeMX, ,"C ++,Arduino,Maple,stm32CubeMX, ",5,1856
